Subject,Topic,Paper Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Reference Book
Microbiology,Pathogenic Mechanisms,2,Which of the following is the first-line treatment for Pathogenic Mechanisms?,Option A related to Pathogenic Mechanisms,Option B related to Pathogenic Mechanisms,Option C related to Pathogenic Mechanisms,Correct option for Pathogenic Mechanisms,D,This is the correct explanation for the question about Pathogenic Mechanisms in Microbiology.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Community Medicine,Infectious Disease Control,1,Which public health intervention has had the greatest impact on Infectious Disease Control?,Option A related to Infectious Disease Control,Option B related to Infectious Disease Control,Option C related to Infectious Disease Control,Correct option for Infectious Disease Control,D,This is the correct explanation for the question about Infectious Disease Control in Community Medicine.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Physiology,Nervous System,2,Which hormone is antagonistic to Nervous System?,Option A related to Nervous System,Option B related to Nervous System,Option C related to Nervous System,Correct option for Nervous System,D,This is the correct explanation for the question about Nervous System in Physiology.,MEDIUM,Schwartz's Principles of Surgery
Anatomy,Perineal Muscles,2,What is the embryological origin of Perineal Muscles?,Option A related to Perineal Muscles,Option B related to Perineal Muscles,Option C related to Perineal Muscles,Correct option for Perineal Muscles,D,This is the correct explanation for the question about Perineal Muscles in Anatomy.,EASY,Schwartz's Principles of Surgery
Anatomy,Pelvic Diaphragm,2,Which nerve is most closely associated with Pelvic Diaphragm?,Option A related to Pelvic Diaphragm,Option B related to Pelvic Diaphragm,Option C related to Pelvic Diaphragm,Correct option for Pelvic Diaphragm,D,This is the correct explanation for the question about Pelvic Diaphragm in Anatomy.,HARD,Gray's Anatomy
Physiology,Fetal Circulation,2,What is the impact of Fetal Circulation on the body's metabolic rate?,Option A related to Fetal Circulation,Option B related to Fetal Circulation,Option C related to Fetal Circulation,Correct option for Fetal Circulation,D,This is the correct explanation for the question about Fetal Circulation in Physiology.,HARD,Lehninger Principles of Biochemistry
Obstetrics,Fetal Distress,1,What is the recommended timing for Fetal Distress in obstetric practice?,Option A related to Fetal Distress,Option B related to Fetal Distress,Option C related to Fetal Distress,Correct option for Fetal Distress,D,This is the correct explanation for the question about Fetal Distress in Obstetrics.,EASY,Lehninger Principles of Biochemistry
Biochemistry,Enzyme Kinetics,2,Which cofactor is required for the activity of Enzyme Kinetics?,Option A related to Enzyme Kinetics,Option B related to Enzyme Kinetics,Option C related to Enzyme Kinetics,Correct option for Enzyme Kinetics,D,This is the correct explanation for the question about Enzyme Kinetics in Biochemistry.,EASY,Robbins Basic Pathology
Obstetrics,Umbilical Cord Prolapse,1,What is the primary cause of Umbilical Cord Prolapse in obstetrics?,Option A related to Umbilical Cord Prolapse,Option B related to Umbilical Cord Prolapse,Option C related to Umbilical Cord Prolapse,Correct option for Umbilical Cord Prolapse,D,This is the correct explanation for the question about Umbilical Cord Prolapse in Obstetrics.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Forensic Medicine,Death Investigation,1,What is the legal implication of Death Investigation in forensic cases?,Option A related to Death Investigation,Option B related to Death Investigation,Option C related to Death Investigation,Correct option for Death Investigation,D,This is the correct explanation for the question about Death Investigation in Forensic Medicine.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Obstetrics,Multiple Pregnancies,1,What is the recommended timing for Multiple Pregnancies in obstetric practice?,Option A related to Multiple Pregnancies,Option B related to Multiple Pregnancies,Option C related to Multiple Pregnancies,Correct option for Multiple Pregnancies,D,This is the correct explanation for the question about Multiple Pregnancies in Obstetrics.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Physiology,Endocrine System,2,Which hormone is antagonistic to Endocrine System?,Option A related to Endocrine System,Option B related to Endocrine System,Option C related to Endocrine System,Correct option for Endocrine System,D,This is the correct explanation for the question about Endocrine System in Physiology.,EASY,Park's Textbook of Preventive and Social Medicine
Forensic Medicine,Postmortem Changes,1,What is the most reliable method for estimating Postmortem Changes?,Option A related to Postmortem Changes,Option B related to Postmortem Changes,Option C related to Postmortem Changes,Correct option for Postmortem Changes,D,This is the correct explanation for the question about Postmortem Changes in Forensic Medicine.,MEDIUM,Gray's Anatomy
Pathology,Neoplasms,2,Which laboratory test is most specific for Neoplasms?,Option A related to Neoplasms,Option B related to Neoplasms,Option C related to Neoplasms,Correct option for Neoplasms,D,This is the correct explanation for the question about Neoplasms in Pathology.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pathology,Infectious Diseases,2,Which genetic mutation is associated with Infectious Diseases?,Option A related to Infectious Diseases,Option B related to Infectious Diseases,Option C related to Infectious Diseases,Correct option for Infectious Diseases,D,This is the correct explanation for the question about Infectious Diseases in Pathology.,MEDIUM,Lehninger Principles of Biochemistry
Physiology,Renal Function,2,Which of the following best describes the process of Renal Function?,Option A related to Renal Function,Option B related to Renal Function,Option C related to Renal Function,Correct option for Renal Function,D,This is the correct explanation for the question about Renal Function in Physiology.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Obstetrics,Multiple Pregnancies,2,What is the most reliable predictor of Multiple Pregnancies in pregnancy?,Option A related to Multiple Pregnancies,Option B related to Multiple Pregnancies,Option C related to Multiple Pregnancies,Correct option for Multiple Pregnancies,D,This is the correct explanation for the question about Multiple Pregnancies in Obstetrics.,MEDIUM,Robbins Basic Pathology
Biochemistry,Enzyme Kinetics,2,What is the biochemical basis for Enzyme Kinetics?,Option A related to Enzyme Kinetics,Option B related to Enzyme Kinetics,Option C related to Enzyme Kinetics,Correct option for Enzyme Kinetics,D,This is the correct explanation for the question about Enzyme Kinetics in Biochemistry.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Pathology,Neoplasms,1,What is the prognosis for patients with Neoplasms?,Option A related to Neoplasms,Option B related to Neoplasms,Option C related to Neoplasms,Correct option for Neoplasms,D,This is the correct explanation for the question about Neoplasms in Pathology.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Pharmacology,Corticosteroids,2,Which adverse effect is most commonly associated with Corticosteroids?,Option A related to Corticosteroids,Option B related to Corticosteroids,Option C related to Corticosteroids,Correct option for Corticosteroids,D,This is the correct explanation for the question about Corticosteroids in Pharmacology.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Obstetrics,Third Stage of Labor,1,What is the primary diagnostic criterion for Third Stage of Labor?,Option A related to Third Stage of Labor,Option B related to Third Stage of Labor,Option C related to Third Stage of Labor,Correct option for Third Stage of Labor,D,This is the correct explanation for the question about Third Stage of Labor in Obstetrics.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Surgery,Trauma Management,1,What is the recommended postoperative care for Trauma Management?,Option A related to Trauma Management,Option B related to Trauma Management,Option C related to Trauma Management,Correct option for Trauma Management,D,This is the correct explanation for the question about Trauma Management in Surgery.,EASY,Park's Textbook of Preventive and Social Medicine
Pathology,Cervical Cancer,2,What is the most common metastatic site for Cervical Cancer?,Option A related to Cervical Cancer,Option B related to Cervical Cancer,Option C related to Cervical Cancer,Correct option for Cervical Cancer,D,This is the correct explanation for the question about Cervical Cancer in Pathology.,HARD,Guyton and Hall Textbook of Medical Physiology
Physiology,Prolactin,1,Which feedback mechanism regulates Prolactin?,Option A related to Prolactin,Option B related to Prolactin,Option C related to Prolactin,Correct option for Prolactin,D,This is the correct explanation for the question about Prolactin in Physiology.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Obstetrics,Third Stage of Labor,1,Which intervention is most effective for preventing Third Stage of Labor?,Option A related to Third Stage of Labor,Option B related to Third Stage of Labor,Option C related to Third Stage of Labor,Correct option for Third Stage of Labor,D,This is the correct explanation for the question about Third Stage of Labor in Obstetrics.,EASY,Schwartz's Principles of Surgery
Surgery,Trauma Management,2,What is the recommended postoperative monitoring for Trauma Management?,Option A related to Trauma Management,Option B related to Trauma Management,Option C related to Trauma Management,Correct option for Trauma Management,D,This is the correct explanation for the question about Trauma Management in Surgery.,EASY,Robbins Basic Pathology
Biochemistry,Hormone Biochemistry,1,Which cofactor is required for the activity of Hormone Biochemistry?,Option A related to Hormone Biochemistry,Option B related to Hormone Biochemistry,Option C related to Hormone Biochemistry,Correct option for Hormone Biochemistry,D,This is the correct explanation for the question about Hormone Biochemistry in Biochemistry.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Obstetrics,Gestational Diabetes,2,What is the primary cause of Gestational Diabetes in obstetrics?,Option A related to Gestational Diabetes,Option B related to Gestational Diabetes,Option C related to Gestational Diabetes,Correct option for Gestational Diabetes,D,This is the correct explanation for the question about Gestational Diabetes in Obstetrics.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Obstetrics,Labor Stages,1,What is the recommended timing for Labor Stages in obstetric practice?,Option A related to Labor Stages,Option B related to Labor Stages,Option C related to Labor Stages,Correct option for Labor Stages,D,This is the correct explanation for the question about Labor Stages in Obstetrics.,HARD,Forensic Medicine: A Guide to Principles
Community Medicine,Epidemiology,1,What is the role of community health workers in managing Epidemiology?,Option A related to Epidemiology,Option B related to Epidemiology,Option C related to Epidemiology,Correct option for Epidemiology,D,This is the correct explanation for the question about Epidemiology in Community Medicine.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Microbiology,Viral Infections,2,Which stain is most commonly used to identify Viral Infections?,Option A related to Viral Infections,Option B related to Viral Infections,Option C related to Viral Infections,Correct option for Viral Infections,D,This is the correct explanation for the question about Viral Infections in Microbiology.,HARD,Forensic Medicine: A Guide to Principles
Forensic Medicine,Legal Aspects,1,Which forensic technique is used to analyze Legal Aspects?,Option A related to Legal Aspects,Option B related to Legal Aspects,Option C related to Legal Aspects,Correct option for Legal Aspects,D,This is the correct explanation for the question about Legal Aspects in Forensic Medicine.,MEDIUM,Robbins Basic Pathology
Biochemistry,Vitamin Biochemistry,2,Which metabolic disorder results from a deficiency in Vitamin Biochemistry?,Option A related to Vitamin Biochemistry,Option B related to Vitamin Biochemistry,Option C related to Vitamin Biochemistry,Correct option for Vitamin Biochemistry,D,This is the correct explanation for the question about Vitamin Biochemistry in Biochemistry.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Biochemistry,Carbohydrate Metabolism,1,Which metabolic disorder results from a deficiency in Carbohydrate Metabolism?,Option A related to Carbohydrate Metabolism,Option B related to Carbohydrate Metabolism,Option C related to Carbohydrate Metabolism,Correct option for Carbohydrate Metabolism,D,This is the correct explanation for the question about Carbohydrate Metabolism in Biochemistry.,HARD,Lehninger Principles of Biochemistry
Physiology,Renal Function,2,Which physiological process is disrupted in Renal Function?,Option A related to Renal Function,Option B related to Renal Function,Option C related to Renal Function,Correct option for Renal Function,D,This is the correct explanation for the question about Renal Function in Physiology.,HARD,Forensic Medicine: A Guide to Principles
Anatomy,Perineal Muscles,2,Which anatomical landmark is crucial for identifying Perineal Muscles?,Option A related to Perineal Muscles,Option B related to Perineal Muscles,Option C related to Perineal Muscles,Correct option for Perineal Muscles,D,This is the correct explanation for the question about Perineal Muscles in Anatomy.,HARD,Schwartz's Principles of Surgery
Anatomy,Pudendal Nerve,2,What is the embryological origin of Pudendal Nerve?,Option A related to Pudendal Nerve,Option B related to Pudendal Nerve,Option C related to Pudendal Nerve,Correct option for Pudendal Nerve,D,This is the correct explanation for the question about Pudendal Nerve in Anatomy.,EASY,Forensic Medicine: A Guide to Principles
Anatomy,Fetal Skull,1,Which nerve is most closely associated with Fetal Skull?,Option A related to Fetal Skull,Option B related to Fetal Skull,Option C related to Fetal Skull,Correct option for Fetal Skull,D,This is the correct explanation for the question about Fetal Skull in Anatomy.,MEDIUM,Guyton and Hall Textbook of Medical Physiology
Surgery,Anesthesia,2,Which surgical instrument is specifically designed for Anesthesia?,Option A related to Anesthesia,Option B related to Anesthesia,Option C related to Anesthesia,Correct option for Anesthesia,D,This is the correct explanation for the question about Anesthesia in Surgery.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Anatomy,Perineal Muscles,1,Which structure is most likely to be damaged during Perineal Muscles?,Option A related to Perineal Muscles,Option B related to Perineal Muscles,Option C related to Perineal Muscles,Correct option for Perineal Muscles,D,This is the correct explanation for the question about Perineal Muscles in Anatomy.,EASY,Robbins Basic Pathology
Physiology,Gastrointestinal System,1,What is the role of Gastrointestinal System in maintaining homeostasis?,Option A related to Gastrointestinal System,Option B related to Gastrointestinal System,Option C related to Gastrointestinal System,Correct option for Gastrointestinal System,D,This is the correct explanation for the question about Gastrointestinal System in Physiology.,EASY,Robbins Basic Pathology
Surgery,Surgical Infections,2,Which surgical technique is considered the gold standard for Surgical Infections?,Option A related to Surgical Infections,Option B related to Surgical Infections,Option C related to Surgical Infections,Correct option for Surgical Infections,D,This is the correct explanation for the question about Surgical Infections in Surgery.,MEDIUM,Forensic Medicine: A Guide to Principles
Obstetrics,Third Stage of Labor,1,What is the primary cause of Third Stage of Labor in obstetrics?,Option A related to Third Stage of Labor,Option B related to Third Stage of Labor,Option C related to Third Stage of Labor,Correct option for Third Stage of Labor,D,This is the correct explanation for the question about Third Stage of Labor in Obstetrics.,MEDIUM,Schwartz's Principles of Surgery
Community Medicine,Disease Prevention,2,Which public health intervention has had the greatest impact on Disease Prevention?,Option A related to Disease Prevention,Option B related to Disease Prevention,Option C related to Disease Prevention,Correct option for Disease Prevention,D,This is the correct explanation for the question about Disease Prevention in Community Medicine.,HARD,Robbins Basic Pathology
Pharmacology,Anticonvulsants,2,Which adverse effect is most commonly associated with Anticonvulsants?,Option A related to Anticonvulsants,Option B related to Anticonvulsants,Option C related to Anticonvulsants,Correct option for Anticonvulsants,D,This is the correct explanation for the question about Anticonvulsants in Pharmacology.,HARD,Dewhurst's Textbook of Obstetrics & Gynaecology
Pathology,Gestational Trophoblastic Disease,2,Which of the following is a risk factor for Gestational Trophoblastic Disease?,Option A related to Gestational Trophoblastic Disease,Option B related to Gestational Trophoblastic Disease,Option C related to Gestational Trophoblastic Disease,Correct option for Gestational Trophoblastic Disease,D,This is the correct explanation for the question about Gestational Trophoblastic Disease in Pathology.,EASY,Gray's Anatomy
Forensic Medicine,Forensic Toxicology,2,What is the legal implication of Forensic Toxicology in forensic cases?,Option A related to Forensic Toxicology,Option B related to Forensic Toxicology,Option C related to Forensic Toxicology,Correct option for Forensic Toxicology,D,This is the correct explanation for the question about Forensic Toxicology in Forensic Medicine.,MEDIUM,Guyton and Hall Textbook of Medical Physiology
Anatomy,Umbilical Cord,2,Which of the following is a key feature of Umbilical Cord?,Option A related to Umbilical Cord,Option B related to Umbilical Cord,Option C related to Umbilical Cord,Correct option for Umbilical Cord,D,This is the correct explanation for the question about Umbilical Cord in Anatomy.,EASY,Forensic Medicine: A Guide to Principles
Biochemistry,Carbohydrate Metabolism,1,Which cofactor is required for the activity of Carbohydrate Metabolism?,Option A related to Carbohydrate Metabolism,Option B related to Carbohydrate Metabolism,Option C related to Carbohydrate Metabolism,Correct option for Carbohydrate Metabolism,D,This is the correct explanation for the question about Carbohydrate Metabolism in Biochemistry.,HARD,Lehninger Principles of Biochemistry
Biochemistry,Mineral Metabolism,1,What is the biochemical basis for Mineral Metabolism?,Option A related to Mineral Metabolism,Option B related to Mineral Metabolism,Option C related to Mineral Metabolism,Correct option for Mineral Metabolism,D,This is the correct explanation for the question about Mineral Metabolism in Biochemistry.,MEDIUM,Lehninger Principles of Biochemistry
Biochemistry,Mineral Metabolism,2,What is the biochemical significance of Mineral Metabolism?,Option A related to Mineral Metabolism,Option B related to Mineral Metabolism,Option C related to Mineral Metabolism,Correct option for Mineral Metabolism,D,This is the correct explanation for the question about Mineral Metabolism in Biochemistry.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Pathology,Ovarian Tumors,2,Which factor is most associated with the development of Ovarian Tumors?,Option A related to Ovarian Tumors,Option B related to Ovarian Tumors,Option C related to Ovarian Tumors,Correct option for Ovarian Tumors,D,This is the correct explanation for the question about Ovarian Tumors in Pathology.,EASY,Forensic Medicine: A Guide to Principles
Pathology,Cervical Cancer,2,Which factor is most associated with the development of Cervical Cancer?,Option A related to Cervical Cancer,Option B related to Cervical Cancer,Option C related to Cervical Cancer,Correct option for Cervical Cancer,D,This is the correct explanation for the question about Cervical Cancer in Pathology.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Biochemistry,Mineral Metabolism,2,Which cofactor is required for the activity of Mineral Metabolism?,Option A related to Mineral Metabolism,Option B related to Mineral Metabolism,Option C related to Mineral Metabolism,Correct option for Mineral Metabolism,D,This is the correct explanation for the question about Mineral Metabolism in Biochemistry.,MEDIUM,Robbins Basic Pathology
Biochemistry,Metabolic Pathways,1,What is the biochemical significance of Metabolic Pathways?,Option A related to Metabolic Pathways,Option B related to Metabolic Pathways,Option C related to Metabolic Pathways,Correct option for Metabolic Pathways,D,This is the correct explanation for the question about Metabolic Pathways in Biochemistry.,EASY,Robbins Basic Pathology
Physiology,Prolactin,1,Which physiological process is disrupted in Prolactin?,Option A related to Prolactin,Option B related to Prolactin,Option C related to Prolactin,Correct option for Prolactin,D,This is the correct explanation for the question about Prolactin in Physiology.,MEDIUM,Gray's Anatomy
Community Medicine,Public Health Policies,2,What is the role of community health workers in managing Public Health Policies?,Option A related to Public Health Policies,Option B related to Public Health Policies,Option C related to Public Health Policies,Correct option for Public Health Policies,D,This is the correct explanation for the question about Public Health Policies in Community Medicine.,HARD,Schwartz's Principles of Surgery
Obstetrics,Gestational Diabetes,1,Which complication is most associated with Gestational Diabetes?,Option A related to Gestational Diabetes,Option B related to Gestational Diabetes,Option C related to Gestational Diabetes,Correct option for Gestational Diabetes,D,This is the correct explanation for the question about Gestational Diabetes in Obstetrics.,HARD,Robbins Basic Pathology
Obstetrics,Multiple Pregnancies,2,Which diagnostic tool is most accurate for detecting Multiple Pregnancies?,Option A related to Multiple Pregnancies,Option B related to Multiple Pregnancies,Option C related to Multiple Pregnancies,Correct option for Multiple Pregnancies,D,This is the correct explanation for the question about Multiple Pregnancies in Obstetrics.,HARD,Park's Textbook of Preventive and Social Medicine
Biochemistry,Vitamin Biochemistry,1,What is the biochemical basis for Vitamin Biochemistry?,Option A related to Vitamin Biochemistry,Option B related to Vitamin Biochemistry,Option C related to Vitamin Biochemistry,Correct option for Vitamin Biochemistry,D,This is the correct explanation for the question about Vitamin Biochemistry in Biochemistry.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Surgery,Emergency Surgery,1,Which preoperative assessment is critical for Emergency Surgery?,Option A related to Emergency Surgery,Option B related to Emergency Surgery,Option C related to Emergency Surgery,Correct option for Emergency Surgery,D,This is the correct explanation for the question about Emergency Surgery in Surgery.,MEDIUM,Robbins Basic Pathology
Forensic Medicine,DNA Analysis,1,What is the most common cause of DNA Analysis in forensic pathology?,Option A related to DNA Analysis,Option B related to DNA Analysis,Option C related to DNA Analysis,Correct option for DNA Analysis,D,This is the correct explanation for the question about DNA Analysis in Forensic Medicine.,MEDIUM,Robbins Basic Pathology
Community Medicine,Non-Communicable Diseases,1,Which of the following is a risk factor for Non-Communicable Diseases in community health?,Option A related to Non-Communicable Diseases,Option B related to Non-Communicable Diseases,Option C related to Non-Communicable Diseases,Correct option for Non-Communicable Diseases,D,This is the correct explanation for the question about Non-Communicable Diseases in Community Medicine.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Biochemistry,Vitamin Biochemistry,1,Which disorder is most associated with a deficiency in Vitamin Biochemistry?,Option A related to Vitamin Biochemistry,Option B related to Vitamin Biochemistry,Option C related to Vitamin Biochemistry,Correct option for Vitamin Biochemistry,D,This is the correct explanation for the question about Vitamin Biochemistry in Biochemistry.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Community Medicine,Nutrition,1,What is the role of community health workers in managing Nutrition?,Option A related to Nutrition,Option B related to Nutrition,Option C related to Nutrition,Correct option for Nutrition,D,This is the correct explanation for the question about Nutrition in Community Medicine.,EASY,Lehninger Principles of Biochemistry
Pharmacology,Antihypertensives,2,Which drug interaction is most significant with Antihypertensives?,Option A related to Antihypertensives,Option B related to Antihypertensives,Option C related to Antihypertensives,Correct option for Antihypertensives,D,This is the correct explanation for the question about Antihypertensives in Pharmacology.,HARD,Gray's Anatomy
Obstetrics,Pre-eclampsia,2,What is the primary cause of Pre-eclampsia in obstetrics?,Option A related to Pre-eclampsia,Option B related to Pre-eclampsia,Option C related to Pre-eclampsia,Correct option for Pre-eclampsia,D,This is the correct explanation for the question about Pre-eclampsia in Obstetrics.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Surgery,Surgical Techniques,2,Which surgical instrument is specifically designed for Surgical Techniques?,Option A related to Surgical Techniques,Option B related to Surgical Techniques,Option C related to Surgical Techniques,Correct option for Surgical Techniques,D,This is the correct explanation for the question about Surgical Techniques in Surgery.,HARD,Guyton and Hall Textbook of Medical Physiology
Forensic Medicine,Death Investigation,2,Which postmortem finding is indicative of Death Investigation?,Option A related to Death Investigation,Option B related to Death Investigation,Option C related to Death Investigation,Correct option for Death Investigation,D,This is the correct explanation for the question about Death Investigation in Forensic Medicine.,EASY,Schwartz's Principles of Surgery
Physiology,Nervous System,2,What is the role of Nervous System in maintaining homeostasis?,Option A related to Nervous System,Option B related to Nervous System,Option C related to Nervous System,Correct option for Nervous System,D,This is the correct explanation for the question about Nervous System in Physiology.,EASY,Gray's Anatomy
Surgery,Postoperative Care,2,What is the recommended postoperative monitoring for Postoperative Care?,Option A related to Postoperative Care,Option B related to Postoperative Care,Option C related to Postoperative Care,Correct option for Postoperative Care,D,This is the correct explanation for the question about Postoperative Care in Surgery.,EASY,Gray's Anatomy
Microbiology,Infection Control,1,Which stain is most commonly used to identify Infection Control?,Option A related to Infection Control,Option B related to Infection Control,Option C related to Infection Control,Correct option for Infection Control,D,This is the correct explanation for the question about Infection Control in Microbiology.,EASY,Lehninger Principles of Biochemistry
Surgery,Surgical Instruments,2,Which surgical instrument is specifically designed for Surgical Instruments?,Option A related to Surgical Instruments,Option B related to Surgical Instruments,Option C related to Surgical Instruments,Correct option for Surgical Instruments,D,This is the correct explanation for the question about Surgical Instruments in Surgery.,MEDIUM,Guyton and Hall Textbook of Medical Physiology
Microbiology,Viral Infections,1,Which of the following is the first-line treatment for Viral Infections?,Option A related to Viral Infections,Option B related to Viral Infections,Option C related to Viral Infections,Correct option for Viral Infections,D,This is the correct explanation for the question about Viral Infections in Microbiology.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Biochemistry,Protein Synthesis,2,What is the biochemical basis for Protein Synthesis?,Option A related to Protein Synthesis,Option B related to Protein Synthesis,Option C related to Protein Synthesis,Correct option for Protein Synthesis,D,This is the correct explanation for the question about Protein Synthesis in Biochemistry.,HARD,Park's Textbook of Preventive and Social Medicine
Anatomy,Umbilical Cord,2,What is the embryological origin of Umbilical Cord?,Option A related to Umbilical Cord,Option B related to Umbilical Cord,Option C related to Umbilical Cord,Correct option for Umbilical Cord,D,This is the correct explanation for the question about Umbilical Cord in Anatomy.,MEDIUM,Lehninger Principles of Biochemistry
Obstetrics,Gestational Diabetes,2,Which intervention is most effective for preventing Gestational Diabetes?,Option A related to Gestational Diabetes,Option B related to Gestational Diabetes,Option C related to Gestational Diabetes,Correct option for Gestational Diabetes,D,This is the correct explanation for the question about Gestational Diabetes in Obstetrics.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Pathology,Breast Cancer,1,What is the most common metastatic site for Breast Cancer?,Option A related to Breast Cancer,Option B related to Breast Cancer,Option C related to Breast Cancer,Correct option for Breast Cancer,D,This is the correct explanation for the question about Breast Cancer in Pathology.,MEDIUM,Gray's Anatomy
Microbiology,Viral Infections,2,What is the incubation period for Viral Infections?,Option A related to Viral Infections,Option B related to Viral Infections,Option C related to Viral Infections,Correct option for Viral Infections,D,This is the correct explanation for the question about Viral Infections in Microbiology.,MEDIUM,Lehninger Principles of Biochemistry
Forensic Medicine,Death Investigation,2,Which forensic technique is used to analyze Death Investigation?,Option A related to Death Investigation,Option B related to Death Investigation,Option C related to Death Investigation,Correct option for Death Investigation,D,This is the correct explanation for the question about Death Investigation in Forensic Medicine.,EASY,Schwartz's Principles of Surgery
Microbiology,Diagnostic Microbiology,2,Which diagnostic test is most reliable for detecting Diagnostic Microbiology?,Option A related to Diagnostic Microbiology,Option B related to Diagnostic Microbiology,Option C related to Diagnostic Microbiology,Correct option for Diagnostic Microbiology,D,This is the correct explanation for the question about Diagnostic Microbiology in Microbiology.,EASY,Forensic Medicine: A Guide to Principles
Obstetrics,Umbilical Cord Prolapse,2,Which complication is most associated with Umbilical Cord Prolapse?,Option A related to Umbilical Cord Prolapse,Option B related to Umbilical Cord Prolapse,Option C related to Umbilical Cord Prolapse,Correct option for Umbilical Cord Prolapse,D,This is the correct explanation for the question about Umbilical Cord Prolapse in Obstetrics.,EASY,Park's Textbook of Preventive and Social Medicine
Forensic Medicine,Injury Analysis,1,What is the legal implication of Injury Analysis in forensic cases?,Option A related to Injury Analysis,Option B related to Injury Analysis,Option C related to Injury Analysis,Correct option for Injury Analysis,D,This is the correct explanation for the question about Injury Analysis in Forensic Medicine.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Pathology,Neoplasms,2,What is the most common metastatic site for Neoplasms?,Option A related to Neoplasms,Option B related to Neoplasms,Option C related to Neoplasms,Correct option for Neoplasms,D,This is the correct explanation for the question about Neoplasms in Pathology.,EASY,Goodman & Gilman's Pharmacological Basis of Therapeutics
Anatomy,Amniotic Fluid,2,What is the embryological origin of Amniotic Fluid?,Option A related to Amniotic Fluid,Option B related to Amniotic Fluid,Option C related to Amniotic Fluid,Correct option for Amniotic Fluid,D,This is the correct explanation for the question about Amniotic Fluid in Anatomy.,MEDIUM,Dewhurst's Textbook of Obstetrics & Gynaecology
Pharmacology,Antibiotics,2,What is the recommended dosage adjustment for Antibiotics in renal impairment?,Option A related to Antibiotics,Option B related to Antibiotics,Option C related to Antibiotics,Correct option for Antibiotics,D,This is the correct explanation for the question about Antibiotics in Pharmacology.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Surgery,Postoperative Care,1,What is the most common complication of Postoperative Care in surgery?,Option A related to Postoperative Care,Option B related to Postoperative Care,Option C related to Postoperative Care,Correct option for Postoperative Care,D,This is the correct explanation for the question about Postoperative Care in Surgery.,EASY,Lehninger Principles of Biochemistry
Physiology,Respiratory System,1,Which physiological process is disrupted in Respiratory System?,Option A related to Respiratory System,Option B related to Respiratory System,Option C related to Respiratory System,Correct option for Respiratory System,D,This is the correct explanation for the question about Respiratory System in Physiology.,HARD,Robbins Basic Pathology
Community Medicine,Health Education,2,What is the role of community health workers in managing Health Education?,Option A related to Health Education,Option B related to Health Education,Option C related to Health Education,Correct option for Health Education,D,This is the correct explanation for the question about Health Education in Community Medicine.,HARD,Park's Textbook of Preventive and Social Medicine
Obstetrics,Third Stage of Labor,2,Which of the following is a risk factor for Third Stage of Labor?,Option A related to Third Stage of Labor,Option B related to Third Stage of Labor,Option C related to Third Stage of Labor,Correct option for Third Stage of Labor,D,This is the correct explanation for the question about Third Stage of Labor in Obstetrics.,HARD,Forensic Medicine: A Guide to Principles
Physiology,Menstrual Cycle,2,What is the role of Menstrual Cycle in maintaining homeostasis?,Option A related to Menstrual Cycle,Option B related to Menstrual Cycle,Option C related to Menstrual Cycle,Correct option for Menstrual Cycle,D,This is the correct explanation for the question about Menstrual Cycle in Physiology.,EASY,Gray's Anatomy
Obstetrics,Postpartum Hemorrhage,1,What is the most reliable predictor of Postpartum Hemorrhage in pregnancy?,Option A related to Postpartum Hemorrhage,Option B related to Postpartum Hemorrhage,Option C related to Postpartum Hemorrhage,Correct option for Postpartum Hemorrhage,D,This is the correct explanation for the question about Postpartum Hemorrhage in Obstetrics.,HARD,Lehninger Principles of Biochemistry
